application,source_ip,source_hostname,destination_ip,destination_hostname,protocol,port,bytes_in,bytes_out,timestamp,behavior,info,service_category,service_type,business_function,archetype
XECHK,10.164.0.143,,10.100.160.50,,HTTPS,443,4203485,1290791,2025-09-18T14:16:35.627704,Network,HTTPS:443,INFRASTRUCTURE,load_balancer,Load balancers and traffic distributors,3-Tier
XECHK,10.164.0.244,,10.164.105.213,,HTTPS,443,4084419,3396875,2025-09-18T14:16:35.553756,Network,HTTPS:443,INFRASTRUCTURE,load_balancer,Load balancers and traffic distributors,3-Tier
XECHK,10.164.1.114,,10.164.105.13,,UDP,,3142947,2001221,2025-09-18T14:16:35.373209,Network,UDP,INFRASTRUCTURE,load_balancer,Load balancers and traffic distributors,3-Tier
XECHK,10.164.1.208,,10.164.104.93,,HTTPS,443,603887,2858293,2025-09-18T14:16:35.400772,Network,HTTPS:443,INFRASTRUCTURE,load_balancer,Load balancers and traffic distributors,3-Tier
XECHK,10.164.1.212,,10.164.105.50,,HTTPS,443,4297769,4840129,2025-09-18T14:16:35.441577,Network,HTTPS:443,INFRASTRUCTURE,load_balancer,Load balancers and traffic distributors,3-Tier
XECHK,10.164.1.247,,10.164.222.241,,UDP,,1358611,317801,2025-09-18T14:16:35.608882,Network,UDP,INFRASTRUCTURE,load_balancer,Load balancers and traffic distributors,3-Tier
XECHK,10.164.10.130,,10.164.105.160,,TCP,,4331402,2665773,2025-09-18T14:16:35.531801,Network,TCP,INFRASTRUCTURE,load_balancer,Load balancers and traffic distributors,3-Tier
XECHK,10.164.10.159,,10.164.82.102,,TCP,,2011315,378348,2025-09-18T14:16:35.581375,Network,TCP,INFRASTRUCTURE,load_balancer,Load balancers and traffic distributors,3-Tier
XECHK,10.164.10.4,,10.164.202.237,,HTTP,80,2403433,4203303,2025-09-18T14:16:35.337382,Network,HTTP:80,INFRASTRUCTURE,load_balancer,Load balancers and traffic distributors,3-Tier
XECHK,10.164.100.173,,10.164.105.93,,TCP,,4344564,2856890,2025-09-18T14:16:35.602363,Network,TCP,INFRASTRUCTURE,load_balancer,Load balancers and traffic distributors,3-Tier
XECHK,10.164.100.39,,10.164.105.87,,UDP,,1978416,1779739,2025-09-18T14:16:35.612388,Network,UDP,INFRASTRUCTURE,load_balancer,Load balancers and traffic distributors,3-Tier
XECHK,10.164.100.56,,10.164.86.121,,UDP,,4172042,3290479,2025-09-18T14:16:35.418616,Network,UDP,INFRASTRUCTURE,load_balancer,Load balancers and traffic distributors,3-Tier
XECHK,10.164.100.78,,10.164.104.227,,HTTP,80,1718132,1832375,2025-09-18T14:16:35.537802,Network,HTTP:80,INFRASTRUCTURE,load_balancer,Load balancers and traffic distributors,3-Tier
XECHK,10.164.100.99,,10.164.146.239,,HTTPS,443,3302932,3037302,2025-09-18T14:16:35.469083,Network,HTTPS:443,INFRASTRUCTURE,load_balancer,Load balancers and traffic distributors,3-Tier
XECHK,10.164.101.101,,10.164.212.102,,TCP,,369439,1084559,2025-09-18T14:16:35.512175,Network,TCP,INFRASTRUCTURE,load_balancer,Load balancers and traffic distributors,3-Tier
XECHK,10.164.101.122,,10.164.105.232,,TCP,,4791940,4335578,2025-09-18T14:16:35.340555,Network,TCP,INFRASTRUCTURE,load_balancer,Load balancers and traffic distributors,3-Tier
XECHK,10.164.101.41,,10.164.40.202,,HTTPS,443,1318324,2732212,2025-09-18T14:16:35.410198,Network,HTTPS:443,INFRASTRUCTURE,load_balancer,Load balancers and traffic distributors,3-Tier
XECHK,10.164.102.165,,10.164.105.159,,UDP,,513290,3631359,2025-09-18T14:16:35.562888,Network,UDP,INFRASTRUCTURE,load_balancer,Load balancers and traffic distributors,3-Tier
XECHK,10.164.102.249,,10.100.160.212,,HTTPS,443,1232236,997240,2025-09-18T14:16:35.507410,Network,HTTPS:443,INFRASTRUCTURE,load_balancer,Load balancers and traffic distributors,3-Tier
XECHK,10.164.102.59,,10.164.49.10,,UDP,,148354,1674931,2025-09-18T14:16:35.385057,Network,UDP,INFRASTRUCTURE,load_balancer,Load balancers and traffic distributors,3-Tier
XECHK,10.164.102.98,,10.164.105.209,,TCP,,4748141,2169410,2025-09-18T14:16:35.559889,Network,TCP,INFRASTRUCTURE,load_balancer,Load balancers and traffic distributors,3-Tier
XECHK,10.164.103.191,,10.164.104.73,,TCP,,1897899,2102978,2025-09-18T14:16:35.412197,Network,TCP,INFRASTRUCTURE,load_balancer,Load balancers and traffic distributors,3-Tier
XECHK,10.164.103.24,,10.100.169.178,,HTTPS,443,3970196,4643067,2025-09-18T14:16:35.325191,Network,HTTPS:443,INFRASTRUCTURE,load_balancer,Load balancers and traffic distributors,3-Tier
XECHK,10.164.104.1,,10.164.161.154,,UDP,,4255681,4054243,2025-09-18T14:16:35.410198,Network,UDP,INFRASTRUCTURE,load_balancer,Load balancers and traffic distributors,3-Tier
XECHK,10.164.105.1,,10.100.7.121,,HTTPS,443,4006507,716515,2025-09-18T14:16:35.609880,Network,HTTPS:443,INFRASTRUCTURE,load_balancer,Load balancers and traffic distributors,3-Tier
XECHK,10.164.105.10,,10.164.104.1,,TCP,,3125270,2841636,2025-09-18T14:16:35.427388,Network,TCP,INFRASTRUCTURE,load_balancer,Load balancers and traffic distributors,3-Tier
XECHK,10.164.105.100,,10.100.160.175,,TCP,,993362,2063024,2025-09-18T14:16:35.497359,Network,TCP,INFRASTRUCTURE,load_balancer,Load balancers and traffic distributors,3-Tier
XECHK,10.164.105.100,,10.100.160.18,,UDP,,1101693,275555,2025-09-18T14:16:35.582385,Network,UDP,INFRASTRUCTURE,load_balancer,Load balancers and traffic distributors,3-Tier
XECHK,10.164.105.101,,10.164.12.243,,TCP,,1738164,108983,2025-09-18T14:16:35.538801,Network,TCP,INFRASTRUCTURE,load_balancer,Load balancers and traffic distributors,3-Tier
