App,Source IP,Source Hostname,Dest IP,Dest Hostname,Port,Protocol,Bytes In,Bytes Out
XECHK,10.164.105.190,,10.100.160.104,,,CIFS,0,0
XECHK,10.164.105.195,,10.164.104.185,,,DB2,0,0
XECHK,,,10.164.104.220,,,DHCPV6,0,0
XECHK,10.164.116.36,,10.164.104.222,,,DNS,0,0
XECHK,,,10.164.104.52,,,HTTP,0,0
XECHK,10.164.144.242,,10.164.105.192,,,HTTP2-SSL,0,0
XECHK,10.164.144.243,,10.164.105.193,,8037,HTTP2-SSL,0,0
XECHK,10.164.144.244,,10.164.105.194,,,HTTPS,0,0
XECHK,10.164.145.102,,10.164.105.3,,,HTTP-TUNNEL/HTTP2-SSL,0,0
XECHK,10.164.145.2,,10.164.105.4,,8037,HTTP-TUNNEL/HTTP2-SSL,0,0
XECHK,10.164.145.3,,10.164.105.41,,,HTTP-TUNNEL/HTTPS,0,0
XECHK,10.164.145.4,,10.164.105.41,,8037,HTTP-TUNNEL/SSL,0,0
XECHK,10.164.145.5,,10.164.105.5,,8037,HTTP-TUNNEL/TCP,0,0
XECHK,10.164.145.6,,10.164.105.6,,,IBMMQ,0,0
XECHK,10.164.145.8,,10.164.105.69,,,ICMP,0,0
XECHK,10.164.77.133,,10.164.105.7,,,ICMPV6,0,0
XECHK,10.164.77.134,,10.164.105.8,,,IKE/ISAKMP,0,0
XECHK,10.165.116.22,,10.164.106.175,,,JAVA RMI,0,0
XECHK,10.165.116.38,,10.164.106.221,,,KERBEROS,0,0
XECHK,10.164.116.242,,10.164.9.232,,1521,TLS,4635116,1242500
XECHK,10.164.93.33,,10.164.105.231,,389,TCP,1762449,2093407
XECHK,2001:0db8:ea19:a1e1:2524:04c4:b515:34a1,,2001:0db8:2582:6d22:87c8:43d1:4f21:d010,,80,UDP,1485422,3458776
XECHK,10.164.105.46,,10.100.160.86,,,HTTP,2081977,2238328
XECHK,10.164.144.202,,10.164.105.98,,123,HTTP,1674338,3861503
XECHK,2001:0db8:2bda:f8d3:236f:4063:7487:9c41,,2001:0db8:548b:87b5:d8a5:6c70:c1d:7223,,123,ICMP,3342774,2753860
XECHK,10.164.197.222,,10.164.105.72,,443,HTTPS,4498303,2778086
XECHK,10.164.105.30,,10.100.246.67,,22,TLS,909546,3645585
XECHK,2001:0db8:2bda:f8d3:236f:4063:df6f:a09a,,2001:0db8:548b:87b5:d8a5:6c70:c538:3b35,,123,HTTPS,2136967,372541
XECHK,10.164.77.1,,10.164.105.207,,8080,ICMP,1653050,3055511
XECHK,10.164.77.18,,10.164.105.236,,5432,TLS,1045632,2519485
XECHK,2001:0db8:d800:5df2:8e9d:ecdd:d118:9e5a,,2001:0db8:e2e2:3221:19e6:078e:ce07:a701,,161,ICMP,4650948,1067967
XECHK,10.164.145.108,,10.164.105.98,,1521,UDP,4774200,2524750
XECHK,10.164.145.141,,10.164.110.78,,1521,HTTPS,2703422,3900803
XECHK,2001:0db8:43be:f201:7c6a:f229:6d6a:e262,,2001:0db8:304b:31a0:dcb2:b566:56e1:f245,,53,ICMP,2380772,4324124
XECHK,10.164.145.24,,10.164.79.193,,,UDP,1670622,1236294
XECHK,10.164.121.12,,10.100.160.157,,8443,TCP,3476783,4829277
XECHK,2001:0db8:cd65:8915:21e3:6c05:fd1f:c498,,2001:0db8:ff9b:ca90:eaee:4926:7ceb:cc9f,,5432,UDP,46713,894319
XECHK,10.164.245.57,,10.164.105.179,,9443,TCP,2090626,1018229
XECHK,10.164.77.35,,10.164.105.171,,1521,HTTPS,2661888,3712774
XECHK,2001:0db8:19ac:f41d:509b:1d1f:e44e:da7d,,2001:0db8:2315:22cb:786c:cebb:f308:517d,,161,HTTP,2074197,2326456
XECHK,10.165.116.125,,10.164.106.71,,161,ICMP,1967274,2279511
XECHK,10.164.145.82,,10.164.59.21,,8080,HTTP,1282023,1794966
XECHK,2001:0db8:8e45:4f9b:6e3d:ac56:d0b0:d469,,2001:0db8:c285:3184:b7cc:b01a:ee8d:a969,,22,HTTP,1735252,3524619
XECHK,10.164.145.232,,10.164.105.243,,443,HTTPS,4001396,49659
XECHK,10.164.145.77,,10.164.105.219,,9443,HTTP,4581489,1850212
XECHK,2001:0db8:ef1d:1bbc:3263:1f08:8bbe:7058,,2001:0db8:37f2:7f4f:6218:6163:f8a6:df25,,443,TCP,2819858,3391854
XECHK,10.164.144.216,,10.164.105.33,,22,HTTPS,3305481,4965356
XECHK,10.164.105.22,,10.100.160.35,,22,UDP,2182549,3180353
XECHK,2001:0db8:52b6:004a:a5f7:fa2a:e8ce:6c5e,,2001:0db8:b9d8:9d72:7a99:1da8:accc:a758,,161,HTTP,3536542,2116406
XECHK,10.164.138.121,,10.164.104.14,,123,TLS,575812,337909
XECHK,10.164.214.244,,10.100.160.6,,80,UDP,3972718,959768
XECHK,2001:0db8:e8f6:920c:d894:f92c:ee18:6f99,,2001:0db8:97ea:6f76:1df1:1f35:bcdf:8332,,1521,UDP,960971,1373967
XECHK,10.164.145.28,,10.164.105.238,,443,ICMP,3327578,1663910
XECHK,10.164.116.152,,10.164.178.161,,5432,TLS,1015683,4747586
XECHK,2001:0db8:6ff1:771f:0d96:65ce:db54:b1c4,,2001:0db8:e5fe:8e6f:0353:51be:234e:bdbb,,5432,HTTPS,2862654,106333
XECHK,10.164.77.211,,10.164.105.111,,8443,ICMP,1283582,3653330
XECHK,10.164.144.188,,10.164.206.167,,,HTTPS,4056071,3899843
