app_id,app_name
ACDA,ATM Check Card Disputes API
ALE,Advisor Locator Engine
AODSVY,AOD Survey
APSE,Appointment Setting (Timetrade)
ARA,Account Analysis Request Application
AV,Automated Vault
BCA,Branch Customer Authentication
BKO,Banko POC
BLND,BLEND SSI
BLZD,FICO/Blaze Decisioning -Rules Development
BLZE,FIXO Blace Decision Engine
BM,BLAZE BKFS MSP AGREGATED VARIABLES INPUT
BO,ACBS Loan Syndications - Datamart/Business Objects
BOD,Branch Oprations Dashboard
BP,BankPro
BTIF,Branch Technology Information
BW,Digital Banking - Batch Processing and Online components
BX,BillerXchange
CACS,Computer Assisted Collections System
CAP,RCLIQ - Commercial Analytics
CCA,Commercial Card Spend Analytics
CCLTR,Contac Center Customer Letters
CCPA,Contact Center Print Admin
CCS,Commercial Card API
CDSA,Credit & Debit to Same Account
CIRA,CIP iView Reporting Application
CLSP,Lending Status Portal
CMAR,Capital Markets Analytics & Reporting
CNET,Cimsnet
CP,CardPac - Total Systems Processing for Credit Cards
CRECL,CRE Closer
CSAA,Corporate Security Alerts Application
CSAS,Collections SAS system
CT,Core Interfaces
CV,Remote Cash Capture
CXI,Sales and Implementation Management System
DAD,DAD - Drag and Drop Document Utility
DCDPP,DataCard Data Preparation and Processing
DCIDM,Datacard Issuance Device Management
DCIFI,DataCard Instant Financial Issuance
DG,Digital Banking
DM,Deposits
DM_BAP, Black Arch Partners
DM_BLZE,BLZE
DM_CCRMBZ,dm_ccrm_blze_dev
DM_CMDAT,CMDAT
DM_CMDF,CMDF
DM_CMRDB,CMRDB
DM_CMREG,CMREG
DM_CORD,Collections Operations Reporting Dashboard
DM_DNCCW,CallCenterWrap
