application,source_ip,source_hostname,destination_ip,destination_hostname,port,protocol,bytes_in,bytes_out,timestamp,behavior,info,archetype
XECHK,10.164.105.190,,10.100.160.104,,,CIFS,0,0,2025-09-17T14:18:02.597675,Network,CIFS,3-Tier
XECHK,10.164.105.195,,10.164.104.185,,,DB2,0,0,2025-09-17T14:18:02.597675,Network,DB2,3-Tier
XECHK,,,10.164.104.220,,,DHCPV6,0,0,2025-09-17T14:18:02.597675,Network,DHCPV6,3-Tier
XECHK,10.164.116.36,,10.164.104.222,,,DNS,0,0,2025-09-17T14:18:02.597675,Network,DNS,3-Tier
XECHK,,,10.164.104.52,,,HTTP,0,0,2025-09-17T14:18:02.597675,Network,HTTP,Web + API Headless
XECHK,10.164.144.242,,10.164.105.192,,,HTTP2-SSL,0,0,2025-09-17T14:18:02.597675,Network,HTTP2-SSL,3-Tier
XECHK,10.164.144.243,,10.164.105.193,,,HTTP2-SSL,0,0,2025-09-17T14:18:02.597675,Network,HTTP2-SSL,3-Tier
XECHK,10.164.144.244,,10.164.105.194,,,HTTPS,0,0,2025-09-17T14:18:02.597675,Network,HTTPS,Web + API Headless
XECHK,10.164.145.102,,10.164.105.3,,,HTTP-TUNNEL/HTTP2-SSL,0,0,2025-09-17T14:18:02.597675,Network,HTTP-TUNNEL/HTTP2-SSL,3-Tier
XECHK,10.164.145.2,,10.164.105.4,,,HTTP-TUNNEL/HTTP2-SSL,0,0,2025-09-17T14:18:02.597675,Network,HTTP-TUNNEL/HTTP2-SSL,3-Tier
XECHK,10.164.145.3,,10.164.105.41,,,HTTP-TUNNEL/HTTPS,0,0,2025-09-17T14:18:02.597675,Network,HTTP-TUNNEL/HTTPS,3-Tier
XECHK,10.164.145.4,,10.164.105.41,,,HTTP-TUNNEL/SSL,0,0,2025-09-17T14:18:02.597675,Network,HTTP-TUNNEL/SSL,3-Tier
XECHK,10.164.145.5,,10.164.105.5,,,HTTP-TUNNEL/TCP,0,0,2025-09-17T14:18:02.597675,Network,HTTP-TUNNEL/TCP,3-Tier
XECHK,10.164.145.6,,10.164.105.6,,,IBMMQ,0,0,2025-09-17T14:18:02.597675,Network,IBMMQ,3-Tier
XECHK,10.164.145.8,,10.164.105.69,,,ICMP,0,0,2025-09-17T14:18:02.597675,Network,ICMP,3-Tier
XECHK,10.164.77.133,,10.164.105.7,,,ICMPV6,0,0,2025-09-17T14:18:02.597675,Network,ICMPV6,3-Tier
XECHK,10.164.77.134,,10.164.105.8,,,IKE/ISAKMP,0,0,2025-09-17T14:18:02.597675,Network,IKE/ISAKMP,3-Tier
XECHK,10.165.116.22,,10.164.106.175,,,JAVA RMI,0,0,2025-09-17T14:18:02.597675,Network,JAVA RMI,3-Tier
XECHK,10.165.116.38,,10.164.106.221,,,KERBEROS,0,0,2025-09-17T14:18:02.597675,Network,KERBEROS,3-Tier
XECHK,10.164.116.242,,10.164.9.232,,,TLS,4635116,1242500,2025-09-17T14:18:02.597675,Network,TLS,3-Tier
XECHK,10.164.93.33,,10.164.105.231,,,TCP,1762449,2093407,2025-09-17T14:18:02.597675,Network,TCP,3-Tier
XECHK,2001:0db8:ea19:a1e1:2524:04c4:b515:34a1,,2001:0db8:2582:6d22:87c8:43d1:4f21:d010,,,UDP,1485422,3458776,2025-09-17T14:18:02.598673,Network,UDP,3-Tier
XECHK,10.164.105.46,,10.100.160.86,,,HTTP,2081977,2238328,2025-09-17T14:18:02.598673,Network,HTTP,Web + API Headless
XECHK,10.164.144.202,,10.164.105.98,,,HTTP,1674338,3861503,2025-09-17T14:18:02.598673,Network,HTTP,Web + API Headless
XECHK,2001:0db8:2bda:f8d3:236f:4063:7487:9c41,,2001:0db8:548b:87b5:d8a5:6c70:c1d:7223,,,ICMP,3342774,2753860,2025-09-17T14:18:02.598673,Network,ICMP,3-Tier
XECHK,10.164.197.222,,10.164.105.72,,,HTTPS,4498303,2778086,2025-09-17T14:18:02.598673,Network,HTTPS,Web + API Headless
XECHK,10.164.105.30,,10.100.246.67,,,TLS,909546,3645585,2025-09-17T14:18:02.598673,Network,TLS,3-Tier
XECHK,2001:0db8:2bda:f8d3:236f:4063:df6f:a09a,,2001:0db8:548b:87b5:d8a5:6c70:c538:3b35,,,HTTPS,2136967,372541,2025-09-17T14:18:02.598673,Network,HTTPS,Web + API Headless
XECHK,10.164.77.1,,10.164.105.207,,,ICMP,1653050,3055511,2025-09-17T14:18:02.598673,Network,ICMP,3-Tier
XECHK,10.164.77.18,,10.164.105.236,,,TLS,1045632,2519485,2025-09-17T14:18:02.598673,Network,TLS,3-Tier
XECHK,2001:0db8:d800:5df2:8e9d:ecdd:d118:9e5a,,2001:0db8:e2e2:3221:19e6:078e:ce07:a701,,,ICMP,4650948,1067967,2025-09-17T14:18:02.598673,Network,ICMP,3-Tier
XECHK,10.164.145.108,,10.164.105.98,,,UDP,4774200,2524750,2025-09-17T14:18:02.598673,Network,UDP,3-Tier
XECHK,10.164.145.141,,10.164.110.78,,,HTTPS,2703422,3900803,2025-09-17T14:18:02.598673,Network,HTTPS,Web + API Headless
XECHK,2001:0db8:43be:f201:7c6a:f229:6d6a:e262,,2001:0db8:304b:31a0:dcb2:b566:56e1:f245,,,ICMP,2380772,4324124,2025-09-17T14:18:02.598673,Network,ICMP,3-Tier
XECHK,10.164.145.24,,10.164.79.193,,,UDP,1670622,1236294,2025-09-17T14:18:02.598673,Network,UDP,3-Tier
XECHK,10.164.121.12,,10.100.160.157,,,TCP,3476783,4829277,2025-09-17T14:18:02.598673,Network,TCP,3-Tier
XECHK,2001:0db8:cd65:8915:21e3:6c05:fd1f:c498,,2001:0db8:ff9b:ca90:eaee:4926:7ceb:cc9f,,,UDP,46713,894319,2025-09-17T14:18:02.598673,Network,UDP,3-Tier
XECHK,10.164.245.57,,10.164.105.179,,,TCP,2090626,1018229,2025-09-17T14:18:02.598673,Network,TCP,3-Tier
XECHK,10.164.77.35,,10.164.105.171,,,HTTPS,2661888,3712774,2025-09-17T14:18:02.598673,Network,HTTPS,Web + API Headless
XECHK,2001:0db8:19ac:f41d:509b:1d1f:e44e:da7d,,2001:0db8:2315:22cb:786c:cebb:f308:517d,,,HTTP,2074197,2326456,2025-09-17T14:18:02.598673,Network,HTTP,Web + API Headless
XECHK,10.165.116.125,,10.164.106.71,,,ICMP,1967274,2279511,2025-09-17T14:18:02.598673,Network,ICMP,3-Tier
XECHK,10.164.145.82,,10.164.59.21,,,HTTP,1282023,1794966,2025-09-17T14:18:02.598673,Network,HTTP,Web + API Headless
XECHK,2001:0db8:8e45:4f9b:6e3d:ac56:d0b0:d469,,2001:0db8:c285:3184:b7cc:b01a:ee8d:a969,,,HTTP,1735252,3524619,2025-09-17T14:18:02.598673,Network,HTTP,Web + API Headless
XECHK,10.164.145.232,,10.164.105.243,,,HTTPS,4001396,49659,2025-09-17T14:18:02.598673,Network,HTTPS,Web + API Headless
XECHK,10.164.145.77,,10.164.105.219,,,HTTP,4581489,1850212,2025-09-17T14:18:02.598673,Network,HTTP,Web + API Headless
XECHK,2001:0db8:ef1d:1bbc:3263:1f08:8bbe:7058,,2001:0db8:37f2:7f4f:6218:6163:f8a6:df25,,,TCP,2819858,3391854,2025-09-17T14:18:02.599673,Network,TCP,3-Tier
XECHK,10.164.144.216,,10.164.105.33,,,HTTPS,3305481,4965356,2025-09-17T14:18:02.599673,Network,HTTPS,Web + API Headless
XECHK,10.164.105.22,,10.100.160.35,,,UDP,2182549,3180353,2025-09-17T14:18:02.599673,Network,UDP,3-Tier
XECHK,2001:0db8:52b6:004a:a5f7:fa2a:e8ce:6c5e,,2001:0db8:b9d8:9d72:7a99:1da8:accc:a758,,,HTTP,3536542,2116406,2025-09-17T14:18:02.599673,Network,HTTP,Web + API Headless
XECHK,10.164.138.121,,10.164.104.14,,,TLS,575812,337909,2025-09-17T14:18:02.599673,Network,TLS,3-Tier
XECHK,10.164.214.244,,10.100.160.6,,,UDP,3972718,959768,2025-09-17T14:18:02.599673,Network,UDP,3-Tier
XECHK,2001:0db8:e8f6:920c:d894:f92c:ee18:6f99,,2001:0db8:97ea:6f76:1df1:1f35:bcdf:8332,,,UDP,960971,1373967,2025-09-17T14:18:02.599673,Network,UDP,3-Tier
XECHK,10.164.145.28,,10.164.105.238,,,ICMP,3327578,1663910,2025-09-17T14:18:02.599673,Network,ICMP,3-Tier
XECHK,10.164.116.152,,10.164.178.161,,,TLS,1015683,4747586,2025-09-17T14:18:02.599673,Network,TLS,3-Tier
XECHK,2001:0db8:6ff1:771f:0d96:65ce:db54:b1c4,,2001:0db8:e5fe:8e6f:0353:51be:234e:bdbb,,,HTTPS,2862654,106333,2025-09-17T14:18:02.599673,Network,HTTPS,Web + API Headless
